from_id,to_id,type,score,note
cam_z8,lens_n1430,COMPATIBLE_WITH,,市场热销镜头适配
cam_z7m2,lens_n1430,COMPATIBLE_WITH,,市场热销镜头适配
lens_n1430,use_landscape,LENS_SUITABLE_FOR,88,风光超广角变焦
lens_n24120,brand_nikon,PRODUCED_BY,,
cam_z6m3,lens_n24120,COMPATIBLE_WITH,,市场热销镜头适配
cam_z8,lens_n24120,COMPATIBLE_WITH,,市场热销镜头适配
cam_zf,lens_n24120,COMPATIBLE_WITH,,市场热销镜头适配
lens_n24120,use_travel,LENS_SUITABLE_FOR,88,旅行全能标准变焦
lens_n24120,use_portrait,LENS_SUITABLE_FOR,88,旅行全能标准变焦
lens_n180600,brand_nikon,PRODUCED_BY,,
cam_z8,lens_n180600,COMPATIBLE_WITH,,市场热销镜头适配
cam_z9,lens_n180600,COMPATIBLE_WITH,,市场热销镜头适配
lens_n180600,use_sports,LENS_SUITABLE_FOR,88,生态体育热门长焦
lens_n40f2,brand_nikon,PRODUCED_BY,,
cam_zf,lens_n40f2,COMPATIBLE_WITH,,市场热销镜头适配
cam_z5,lens_n40f2,COMPATIBLE_WITH,,市场热销镜头适配
lens_n40f2,use_street,LENS_SUITABLE_FOR,88,轻便街拍定焦
lens_n40f2,use_beginner,LENS_SUITABLE_FOR,88,轻便街拍定焦
lens_f23f2,brand_fuji,PRODUCED_BY,,
cam_xt5,lens_f23f2,COMPATIBLE_WITH,,市场热销镜头适配
cam_xm5,lens_f23f2,COMPATIBLE_WITH,,市场热销镜头适配
cam_xs20,lens_f23f2,COMPATIBLE_WITH,,市场热销镜头适配
lens_f23f2,use_street,LENS_SUITABLE_FOR,88,街拍人文定焦
lens_f35f2,brand_fuji,PRODUCED_BY,,
cam_xt5,lens_f35f2,COMPATIBLE_WITH,,市场热销镜头适配
cam_xm5,lens_f35f2,COMPATIBLE_WITH,,市场热销镜头适配
cam_xs20,lens_f35f2,COMPATIBLE_WITH,,市场热销镜头适配
lens_f35f2,use_street,LENS_SUITABLE_FOR,88,小巧人像街拍定焦
lens_f35f2,use_portrait,LENS_SUITABLE_FOR,88,小巧人像街拍定焦
lens_f56f12,brand_fuji,PRODUCED_BY,,
cam_xt5,lens_f56f12,COMPATIBLE_WITH,,市场热销镜头适配
cam_xs20,lens_f56f12,COMPATIBLE_WITH,,市场热销镜头适配
lens_f56f12,use_portrait,LENS_SUITABLE_FOR,88,富士高端人像定焦
lens_f1024,brand_fuji,PRODUCED_BY,,
cam_xt5,lens_f1024,COMPATIBLE_WITH,,市场热销镜头适配
cam_xt50,lens_f1024,COMPATIBLE_WITH,,市场热销镜头适配
lens_f1024,use_landscape,LENS_SUITABLE_FOR,88,风光旅行广角
lens_f1024,use_travel,LENS_SUITABLE_FOR,88,风光旅行广角
lens_f50140,brand_fuji,PRODUCED_BY,,
cam_xt5,lens_f50140,COMPATIBLE_WITH,,市场热销镜头适配
cam_xh2s,lens_f50140,COMPATIBLE_WITH,,市场热销镜头适配
lens_f50140,use_portrait,LENS_SUITABLE_FOR,88,人像活动长焦
lens_f50140,use_sports,LENS_SUITABLE_FOR,88,人像活动长焦
lens_p2470,brand_panasonic,PRODUCED_BY,,
cam_s5m2,lens_p2470,COMPATIBLE_WITH,,市场热销镜头适配
cam_s9,lens_p2470,COMPATIBLE_WITH,,市场热销镜头适配
lens_p2470,use_video,LENS_SUITABLE_FOR,88,松下全画幅大三元
lens_p2470,use_portrait,LENS_SUITABLE_FOR,88,松下全画幅大三元
lens_p70200,brand_panasonic,PRODUCED_BY,,
cam_s5m2,lens_p70200,COMPATIBLE_WITH,,市场热销镜头适配
cam_s1h,lens_p70200,COMPATIBLE_WITH,,市场热销镜头适配
lens_p70200,use_portrait,LENS_SUITABLE_FOR,88,全画幅长焦大三元
lens_p70200,use_sports,LENS_SUITABLE_FOR,88,全画幅长焦大三元
lens_p1260,brand_panasonic,PRODUCED_BY,,
cam_gh7,lens_p1260,COMPATIBLE_WITH,,市场热销镜头适配
cam_g100d,lens_p1260,COMPATIBLE_WITH,,市场热销镜头适配
lens_p1260,use_travel,LENS_SUITABLE_FOR,88,M43旅行变焦
lens_p1260,use_video,LENS_SUITABLE_FOR,88,M43旅行变焦
lens_om40150,brand_om,PRODUCED_BY,,
cam_om1m2,lens_om40150,COMPATIBLE_WITH,,市场热销镜头适配
cam_om5,lens_om40150,COMPATIBLE_WITH,,市场热销镜头适配
lens_om40150,use_sports,LENS_SUITABLE_FOR,88,M43生态运动长焦
lens_om300f4,brand_om,PRODUCED_BY,,
cam_om1m2,lens_om300f4,COMPATIBLE_WITH,,市场热销镜头适配
lens_om300f4,use_sports,LENS_SUITABLE_FOR,88,轻量生态打鸟定焦
lens_lux28,brand_leica,PRODUCED_BY,,
cam_q3,lens_lux28,COMPATIBLE_WITH,,市场热销镜头适配
cam_q2,lens_lux28,COMPATIBLE_WITH,,市场热销镜头适配
lens_lux28,use_street,LENS_SUITABLE_FOR,88,徕卡Q系列固定镜头
lens_lux28,use_travel,LENS_SUITABLE_FOR,88,徕卡Q系列固定镜头
lens_h_xcd45p,brand_hasselblad,PRODUCED_BY,,
cam_x2d,lens_h_xcd45p,COMPATIBLE_WITH,,市场热销镜头适配
cam_x1d2,lens_h_xcd45p,COMPATIBLE_WITH,,市场热销镜头适配
lens_h_xcd45p,use_studio,LENS_SUITABLE_FOR,88,哈苏轻便中画幅标准定焦
lens_h_xcd45p,use_landscape,LENS_SUITABLE_FOR,88,哈苏轻便中画幅标准定焦
